reads,avg_candidates,total_clusters,total_buckets,avg_bucket_size,max_bucket_size,worstKmer
5160000,4,2994712,14556118,1.0,1342,1152921504606846975
5170000,4,2999633,14579707,1.0,1343,1152921504606846975
5180000,3,3004586,14603427,1.0,1345,1152921504606846975
5190000,5,3009531,14627095,1.0,1347,1152921504606846975
5200000,5,3014422,14650502,1.0,1350,1152921504606846975
5210000,4,3019326,14673989,1.0,1353,1152921504606846975
5220000,3,3024372,14698244,1.0,1355,1152921504606846975
5230000,5,3029237,14721466,1.0,1358,1152921504606846975
5240000,4,3034128,14744855,1.0,1362,1152921504606846975
5250000,5,3039090,14768630,1.0,1366,1152921504606846975
5260000,5,3044001,14792077,1.0,1374,1152921504606846975
5270000,4,3049018,14816080,1.0,1376,1152921504606846975
5280000,4,3053918,14839557,1.0,1378,1152921504606846975
5290000,4,3058831,14863113,1.0,1381,1152921504606846975
5300000,5,3063713,14886472,1.0,1390,1152921504606846975
5310000,3,3068617,14909922,1.0,1395,1152921504606846975
5320000,4,3073531,14933509,1.0,1400,1152921504606846975
5330000,5,3078468,14957239,1.0,1404,1152921504606846975
5340000,3,3083394,14980867,1.0,1409,1152921504606846975
5350000,4,3088287,15004300,1.0,1410,1152921504606846975
5360000,4,3093188,15027778,1.0,1412,1152921504606846975
5370000,4,3098104,15051337,1.0,1417,1152921504606846975
5380000,4,3102964,15074624,1.0,1419,1152921504606846975
5390000,4,3107935,15098425,1.0,1422,1152921504606846975
5400000,5,3112888,15122189,1.0,1425,1152921504606846975
5410000,5,3117780,15145552,1.0,1430,1152921504606846975
5420000,6,3122713,15169211,1.0,1437,1152921504606846975
5430000,5,3127630,15192797,1.0,1444,1152921504606846975
5440000,4,3132473,15215946,1.0,1445,1152921504606846975
5450000,5,3137296,15238979,1.0,1449,1152921504606846975
5460000,5,3142183,15262354,1.0,1453,1152921504606846975
5470000,5,3147157,15286191,1.0,1459,1152921504606846975
5480000,5,3152005,15309391,1.0,1466,1152921504606846975
5490000,4,3156885,15332718,1.0,1469,1152921504606846975
5500000,4,3161792,15356194,1.0,1475,1152921504606846975
5510000,4,3166630,15379398,1.0,1477,1152921504606846975
5520000,4,3171541,15402802,1.0,1482,1152921504606846975
5530000,4,3176481,15426412,1.0,1486,1152921504606846975
5540000,4,3181253,15449150,1.0,1493,1152921504606846975
5550000,4,3186067,15472198,1.0,1498,1152921504606846975
5560000,4,3190888,15495235,1.0,1503,1152921504606846975
5570000,4,3195709,15518246,1.0,1506,1152921504606846975
5580000,4,3200542,15541306,1.0,1512,1152921504606846975
5590000,6,3205443,15564780,1.0,1522,1152921504606846975
5600000,4,3210263,15587886,1.0,1525,1152921504606846975
5610000,3,3215051,15610830,1.0,1528,1152921504606846975
5620000,5,3219922,15634120,1.0,1532,1152921504606846975
5630000,4,3224804,15657466,1.0,1539,1152921504606846975
5640000,5,3229779,15681219,1.0,1544,1152921504606846975
